Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188
Vmp1,0,77,0,0,23,4,4,157,0,111,0,0,10,79,170,0,53,29,19,64,0,0,65,0,1,26,0,0,13,179,0,19,0,0,116,12,74,29,0,170,69,170,1,54,5,102,171,76,155,2,0,20,0,103,96,0,28,170,94,1,0,73,0,6,0,58,46,116,0,0,0,0,0,183,0,134,118,0,112,0,45,45,0,0,8,0,8,0,0,146,0,110,58,0,178,0,29,28,111,0,4,155,0,155,8,99,0,123,0,0,92,44,172,1,21,0,0,190,4,91,83,175,142,194,80,186,38,0,4,1,66,51,119,94,75,3,143,112,0,0,29,15,4,63,18,0,3,44,74,45,6,47,129,0,0,0,7,165,5,142,15,43,0,0,0,84,111,133,19,121,115,26,1,168,123,1,0,0,2,0,0,0,13,2,161,27,0,6
Wapal,3,3,2,2,6,5,1,5,4,0,0,0,5,6,5,4,4,2,0,2,6,7,1,5,6,6,3,3,7,7,0,2,1,3,0,4,3,1,4,7,4,1,0,1,6,1,0,7,4,3,2,2,5,0,0,1,2,6,8,5,5,2,5,8,3,3,1,1,4,4,2,0,3,4,6,4,3,0,3,5,3,2,0,4,1,1,2,8,1,0,6,0,2,6,0,4,1,7,3,2,6,3,0,3,8,1,3,6,2,3,3,6,5,7,0,3,1,7,2,0,3,4,1,2,2,3,2,5,5,0,6,5,1,2,5,3,4,6,0,6,5,0,7,6,5,4,0,3,1,2,4,3,2,4,0,3,4,4,4,5,5,0,2,9,1,3,1,6,0,8,4,0,0,3,2,3,0,5,3,4,0,3,5,0,0,7,0,2
Wbp2,0,1,3,0,1,5,2,5,0,7,0,7,3,4,9,0,2,3,0,2,0,0,6,0,6,0,5,1,6,1,0,1,8,6,5,5,1,4,7,6,0,4,0,6,8,0,10,2,0,2,6,8,5,3,5,10,4,9,5,8,1,1,5,6,0,1,4,4,4,3,2,5,5,1,2,0,5,0,7,2,3,0,1,0,2,9,5,10,5,4,10,1,9,5,7,1,3,1,0,1,0,9,5,5,2,8,3,1,0,7,9,4,3,5,9,7,4,9,2,9,7,1,6,1,5,8,4,5,0,5,1,8,0,0,5,1,4,2,0,7,5,0,4,4,2,8,0,11,0,5,0,1,4,4,3,5,5,0,4,6,2,1,1,3,1,5,9,1,4,5,9,1,8,4,4,5,0,4,1,6,5,5,3,8,8,4,5,5
Wdfy1,9,0,2,8,0,0,3,1,1,4,2,2,5,6,12,2,2,3,0,0,5,0,1,2,0,6,4,1,8,2,0,3,0,5,7,9,0,7,7,6,8,4,1,0,6,6,3,4,5,3,0,1,0,9,2,6,9,8,11,12,1,6,3,2,0,7,2,1,4,9,0,7,1,2,8,1,0,5,2,9,4,0,3,3,2,1,0,6,0,7,3,1,1,5,2,7,6,2,3,2,2,4,1,4,7,0,0,6,6,3,0,9,2,6,2,3,3,5,4,0,6,0,8,3,0,6,2,9,6,6,3,9,5,2,6,6,2,1,1,6,0,5,4,5,1,6,9,5,6,11,5,1,9,1,10,6,0,0,4,10,5,2,4,2,6,8,7,4,10,8,5,4,2,0,0,0,3,6,3,3,4,2,6,4,0,7,10,5
Wdr26,0,6,0,2,12,5,9,0,11,10,4,10,16,12,0,4,2,0,0,2,12,0,12,0,0,8,0,6,0,0,0,3,0,11,0,2,0,3,0,10,3,0,14,15,1,0,0,11,1,15,15,0,10,14,4,10,0,3,3,10,10,0,16,0,0,1,5,6,12,13,0,0,2,0,2,0,0,0,8,7,0,0,0,0,2,9,0,6,12,0,0,2,11,9,9,0,0,2,0,0,0,5,11,0,2,0,13,14,0,4,0,0,2,1,1,0,0,8,9,14,18,16,0,10,0,0,1,5,13,0,6,0,3,1,0,8,0,0,0,1,3,0,11,9,1,5,0,7,9,1,0,0,5,3,7,10,0,11,4,11,0,10,2,0,11,0,0,0,9,0,2,0,12,0,0,12,0,0,0,19,14,5,13,6,1,6,0,2
Wdr43,4,4,5,18,15,23,16,22,10,11,22,7,10,15,16,33,16,13,27,30,24,21,0,16,10,24,26,12,21,10,17,2,4,11,10,22,14,9,7,1,4,2,3,19,3,11,19,5,12,8,1,17,22,16,11,17,9,17,16,18,7,27,3,6,9,1,20,1,17,16,14,6,21,8,15,18,6,12,7,2,5,18,9,10,5,13,21,21,6,29,22,20,18,27,2,11,25,12,17,16,9,5,17,21,18,20,21,7,6,24,7,5,3,15,2,19,25,14,13,8,7,20,14,6,16,9,7,8,2,18,25,21,18,14,5,3,23,17,28,18,24,23,12,13,10,17,4,12,10,11,21,2,4,9,0,1,3,4,21,18,26,11,5,12,3,3,0,15,3,15,6,3,2,21,20,2,2,26,15,21,1,6,15,23,23,4,8,5
Wdr5,2,13,7,3,6,10,1,1,4,8,0,0,2,1,9,1,1,2,5,6,4,7,3,4,4,9,3,10,0,1,6,5,14,3,3,0,1,3,2,6,3,4,0,7,0,0,6,2,1,1,4,10,7,1,2,2,10,2,2,1,6,15,2,2,2,4,3,2,2,6,0,1,10,11,3,5,2,4,10,0,1,0,1,2,6,4,0,0,0,4,1,0,9,5,4,4,6,1,0,1,1,3,14,0,3,6,8,3,2,5,1,6,7,6,4,7,0,3,1,5,5,2,1,0,0,5,7,11,4,2,2,2,0,15,0,3,10,2,0,7,1,0,10,3,4,10,2,2,5,0,3,4,1,5,5,0,6,4,1,0,0,14,7,1,0,7,8,4,1,8,3,0,0,0,2,4,8,5,6,4,1,10,2,7,6,1,3,11
Wdr55,0,11,8,1,5,10,0,3,8,4,5,0,5,5,1,6,1,0,0,4,3,5,0,0,4,1,2,2,10,0,4,2,9,3,0,0,0,6,0,4,1,0,5,5,5,0,2,4,7,3,4,3,0,1,0,7,0,5,0,3,0,7,3,6,10,1,1,3,3,0,2,1,0,1,8,0,7,1,5,8,0,0,6,0,7,6,2,0,1,1,0,3,10,0,6,0,9,7,1,13,1,0,0,2,7,3,0,3,0,1,0,3,7,0,2,0,0,0,4,4,11,1,5,6,0,2,0,7,5,7,0,0,5,5,0,6,7,4,2,2,2,0,8,9,5,4,7,3,0,6,4,0,2,0,8,9,2,7,7,3,0,4,2,8,6,7,1,0,8,8,3,2,1,0,0,2,11,7,2,0,3,0,2,5,0,6,2,0
Wibg,5,4,2,0,6,3,1,1,1,5,0,2,3,7,1,0,2,1,1,6,6,0,2,0,3,1,7,3,5,1,0,4,4,3,4,0,0,0,1,2,1,4,1,7,1,3,4,2,4,7,11,0,5,2,0,2,0,5,2,6,1,1,0,0,6,0,6,2,1,2,1,0,2,3,4,1,0,0,0,0,6,6,3,3,1,0,3,3,5,1,0,7,0,0,1,9,0,7,2,0,3,0,5,2,3,0,0,5,1,4,2,5,4,2,6,8,0,5,0,0,4,1,4,1,0,0,0,1,0,1,0,3,8,7,0,0,4,2,0,0,3,7,2,0,0,0,3,3,3,1,0,4,3,1,0,1,3,5,5,6,0,6,0,0,1,0,2,1,9,3,0,5,6,6,8,6,1,0,3,1,0,7,5,0,1,1,2,0
Wnk1,0,0,0,4,0,2,0,9,5,0,13,22,0,9,1,3,3,0,7,0,15,0,23,18,13,23,0,0,3,22,0,1,0,12,17,21,1,0,14,0,0,4,0,0,20,17,0,2,0,0,0,1,1,20,4,20,11,15,0,0,5,0,3,22,0,0,6,14,0,0,0,0,2,0,18,0,5,0,0,0,19,4,0,3,28,0,0,3,0,0,0,14,0,0,16,19,12,0,35,0,18,5,28,0,21,11,5,21,16,8,0,14,0,25,0,8,17,11,0,0,3,4,1,20,0,12,26,0,4,6,25,0,0,0,0,0,1,19,0,0,0,2,0,0,0,0,19,0,20,1,21,1,12,0,5,24,0,0,0,11,0,22,3,0,0,4,1,6,18,24,0,0,17,1,0,4,8,11,0,1,0,0,14,2,10,5,12,9
