Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188,cell189,cell190,cell191,cell192,cell193,cell194,cell195,cell196,cell197,cell198,cell199,cell200,cell201,cell202,cell203,cell204,cell205,cell206,cell207,cell208,cell209,cell210,cell211,cell212,cell213,cell214,cell215,cell216,cell217,cell218,cell219,cell220,cell221,cell222,cell223,cell224
Cd81,26,34,21,53,27,56,42,62,34,43,34,32,15,20,70,36,28,18,20,7,60,39,57,48,13,37,74,47,43,23,36,32,23,41,13,36,25,47,45,32,62,21,36,30,22,97,30,43,41,24,33,36,16,0,57,18,10,25,27,30,43,23,8,20,53,11,7,36,15,131,24,67,54,46,37,47,35,20,25,16,7,4,25,20,38,28,48,10,22,50,43,21,43,34,26,69,7,42,28,38,39,43,83,32,48,32,20,41,44,27,26,24,37,22,58,39,15,20,38,21,61,15,24,18,6,14,47,25,11,33,17,25,1,8,0,38,8,19,38,20,4,6,23,43,44,44,33,33,30,27,17,11,11,16,33,27,18,27,24,16,38,17,23,18,27,25,13,29,41,36,31,16,34,11,19,14,10,25,29,30,29,18,24,30,52,19,20,33,9,50,21,38,28,42,37,25,8,37,44,18,15,25,40,34,23,42,21,34,12,14,28,31,34,34,37,16,8,14,21,57,26,21,21,14
Ash2l,9,0,0,3,5,6,27,11,0,3,0,0,5,2,0,3,0,3,0,0,0,7,4,1,0,0,11,0,2,6,1,6,0,0,0,3,0,0,8,8,9,0,1,0,0,0,13,3,4,0,5,9,0,0,7,10,9,0,10,0,0,9,0,0,0,0,0,0,0,7,2,12,0,5,0,0,6,4,2,3,5,0,0,1,9,11,11,0,0,0,4,0,2,8,0,11,0,4,2,8,0,8,1,4,3,7,5,4,7,11,8,0,0,12,4,8,1,6,8,15,0,1,2,0,0,1,0,1,0,3,2,3,3,0,0,2,0,4,0,0,0,2,5,11,0,5,3,0,0,2,0,0,2,2,4,1,0,10,3,5,0,4,5,1,5,0,0,3,8,3,0,5,0,0,5,0,0,6,2,0,0,0,5,4,5,5,0,7,8,6,0,0,0,0,6,2,1,0,7,0,1,2,2,0,4,4,6,2,0,0,5,6,0,4,0,5,4,0,7,0,0,0,0,0
Leprotl1,7,16,12,11,8,19,35,4,0,12,2,16,9,2,3,10,0,1,0,2,15,7,11,7,4,26,16,8,6,2,9,8,7,0,10,19,7,13,21,12,10,0,2,6,4,4,24,18,15,0,3,19,5,10,20,0,8,4,0,2,21,6,5,0,25,15,0,16,14,35,0,37,2,3,10,0,22,9,11,13,2,1,9,6,14,16,15,0,25,12,6,6,9,3,12,1,15,6,15,11,11,7,4,7,1,17,11,17,1,12,14,4,5,10,27,8,2,2,8,1,4,7,3,4,4,0,14,4,17,14,7,17,9,0,4,0,7,14,11,2,2,0,2,4,3,0,17,0,8,11,5,5,0,4,6,18,10,1,3,6,0,6,4,6,20,7,2,2,3,13,8,6,13,10,8,5,0,2,9,0,4,5,15,4,7,10,2,9,6,12,2,6,10,2,16,9,0,8,3,2,8,5,9,3,9,8,12,12,4,0,8,7,13,8,7,10,8,2,8,5,4,7,6,12
Asah1,1,14,1,8,6,33,6,7,8,25,20,12,11,13,23,16,0,1,13,1,14,11,7,16,2,5,21,9,17,4,12,7,7,2,6,13,5,14,10,2,19,6,13,16,0,15,8,10,23,0,10,6,0,27,20,5,8,0,3,15,12,5,1,5,5,2,0,11,7,7,8,24,27,1,19,12,8,6,6,9,0,6,14,8,7,6,10,0,0,10,12,6,5,6,8,6,3,13,13,12,5,8,15,11,10,14,1,19,10,14,11,0,12,7,14,14,1,8,24,4,0,2,1,6,0,3,7,2,4,4,0,9,1,1,2,2,5,4,6,4,0,2,4,8,4,12,13,13,7,12,3,7,0,0,2,9,10,10,6,7,10,4,6,9,3,5,2,7,8,6,1,5,4,1,8,3,2,1,8,0,0,3,12,3,2,6,2,12,7,13,6,16,1,8,9,8,7,10,16,2,11,11,11,0,5,6,7,13,1,6,6,15,3,3,10,6,0,0,7,38,14,6,2,2
Palld,0,4,8,12,1,5,4,17,4,13,6,0,2,7,13,0,0,0,2,0,1,4,4,9,0,8,4,23,9,3,0,4,4,48,12,5,0,9,3,5,5,8,0,0,0,38,8,3,4,0,6,2,8,5,34,31,5,0,14,0,6,6,0,6,0,0,0,0,4,0,4,11,2,4,0,4,2,0,0,12,0,0,11,16,37,16,58,0,0,0,4,13,27,14,0,14,14,3,27,10,27,15,13,10,0,6,0,24,30,6,2,0,17,11,27,59,0,1,12,0,0,0,28,0,0,0,20,0,0,13,0,7,15,0,0,0,0,30,32,8,8,0,20,13,0,7,36,0,11,18,13,0,3,0,20,31,10,13,16,7,21,6,0,0,9,4,9,1,8,18,0,0,41,0,0,0,0,6,17,0,0,10,4,62,7,4,0,10,4,32,2,18,23,16,0,24,10,12,7,4,3,25,17,12,12,15,17,2,29,6,11,15,0,24,5,2,0,1,15,46,23,68,21,0
Fam32a,4,2,7,5,5,21,6,23,3,23,15,3,10,4,11,7,1,6,13,4,16,6,15,2,0,1,22,1,19,6,9,12,7,12,9,4,8,18,20,9,14,3,3,4,0,15,10,6,11,1,14,7,0,11,21,7,5,4,6,0,1,8,2,2,9,1,2,0,4,25,11,34,15,6,8,0,9,3,4,7,2,0,9,3,18,9,11,0,6,4,10,2,19,8,3,11,0,3,13,7,5,3,16,8,4,5,0,18,22,15,5,0,11,3,20,9,0,2,13,8,0,2,0,0,0,0,12,7,0,2,0,5,2,6,2,3,0,2,7,1,1,0,8,6,0,17,9,1,4,3,7,2,1,2,12,10,8,6,6,6,11,5,10,3,9,3,0,17,13,6,0,2,1,3,13,0,0,6,0,0,2,1,2,2,12,5,0,8,4,10,0,10,1,4,8,3,3,8,15,2,6,6,4,1,13,8,10,9,1,1,5,4,3,4,12,5,0,0,10,19,10,5,8,7
Nfix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,35,23,0,0,0,0,0,0,0,0,0,0,3,0,32,14,0,0,10,0,0,0,0,0,0,0,0,0,0,8,19,14,0,0,20,0,16,25,46,0,0,0,0,0,29,0,24,0,0,0,0,0,0,0,0,0,0,4,28,0,12,0,0,0,0,0,10,15,0,0,0,0,14,0,0,0,0,0,6,0,0,1,0,0,21,0,0,0,0,0,26,0,25,0,0,0,0,39,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,16,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,25,0,36,0,0,8
Vps35,2,10,3,5,6,9,6,5,2,9,1,0,4,4,6,4,2,1,6,0,4,4,7,17,0,6,19,1,18,2,2,3,1,4,5,14,3,11,9,7,7,2,10,0,4,4,5,11,3,5,4,2,4,13,7,0,1,13,12,0,5,3,0,1,1,0,0,7,4,7,2,7,5,16,10,8,8,7,0,2,3,1,2,3,3,4,4,2,4,0,6,4,12,4,2,6,3,0,4,7,11,4,5,1,5,3,2,5,3,6,3,1,4,5,5,1,0,0,3,4,0,1,8,0,0,0,9,4,1,5,3,2,4,0,4,0,1,2,4,2,0,0,10,8,0,6,4,2,7,0,1,2,5,0,5,7,0,4,4,5,2,1,4,4,4,3,4,3,3,3,5,1,4,1,1,5,1,11,5,0,5,0,4,7,4,2,2,4,2,3,0,2,1,0,3,7,3,1,7,5,0,2,3,0,8,12,4,5,3,1,3,5,2,4,5,8,1,1,1,2,3,9,3,0
Kars,3,3,6,2,5,29,12,2,6,14,11,4,6,4,10,7,8,4,9,0,3,14,2,2,2,6,17,23,15,7,14,5,7,3,1,7,3,15,18,4,7,3,1,1,11,5,6,22,5,3,11,15,0,4,14,10,6,9,11,2,2,12,1,0,8,1,3,5,1,9,3,19,22,1,1,5,24,3,8,4,0,1,10,4,6,10,7,0,9,4,8,2,15,7,0,7,11,3,10,9,21,11,3,5,5,5,1,5,8,11,7,0,5,13,9,8,0,10,20,0,0,0,4,1,0,0,5,6,0,4,1,7,0,0,0,4,0,4,2,5,0,0,6,8,0,13,7,0,6,7,3,2,2,7,5,3,4,6,8,10,6,2,7,8,6,3,0,2,6,4,4,2,2,1,13,1,3,11,5,0,2,0,7,3,2,4,2,7,8,5,6,10,0,1,9,9,0,6,3,3,1,4,2,0,9,12,10,3,1,2,6,15,2,1,6,10,0,0,13,9,2,0,4,7
Trappc2l,4,6,6,4,8,31,8,11,8,12,19,2,15,7,11,4,0,3,0,1,14,11,8,2,6,8,25,10,13,3,15,17,8,7,2,3,0,12,25,9,9,8,7,11,4,17,9,9,15,11,12,1,7,16,16,32,13,7,30,14,11,8,0,7,5,4,0,18,12,43,10,9,25,4,6,5,9,8,10,6,6,1,1,6,7,17,23,2,12,8,6,4,10,18,1,7,0,6,11,10,6,15,16,12,12,8,3,11,7,18,11,2,18,6,12,5,0,2,19,7,5,0,5,12,2,4,12,12,11,8,3,3,2,0,3,6,5,7,4,1,5,3,14,8,6,11,10,1,9,4,14,3,4,7,18,16,9,4,14,8,15,7,13,1,18,8,10,6,14,7,5,7,4,4,8,4,0,9,8,1,0,3,18,14,15,5,2,17,1,11,9,10,5,4,7,2,3,1,8,3,9,2,5,4,11,5,11,6,4,9,6,5,1,1,14,7,5,5,5,17,17,7,6,2
