Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188
Pou2f1,0,0,7,0,0,2,0,0,0,4,7,0,0,0,6,3,0,0,14,0,10,0,9,5,4,0,5,0,0,0,0,0,6,9,0,11,0,0,0,7,0,0,0,0,2,0,4,0,0,0,0,0,2,6,0,0,0,0,0,15,15,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,3,0,0,5,0,14,0,1,16,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,14,0,0,0,0,3,7,0,2,7,6,0,5,0,0,0,6,5,10,9,0,0,4,0,0,0,0,11,0,9,0,7,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,6,0,0,15,0,0,0,0,15,0,0,0,0,0,0,4,0,0,13,0,0,3,0,5,0,0,0,1,0,16,14,0,0,0,0,1,0,0,4
Ppcs,1,0,1,0,0,2,0,0,0,4,1,2,0,0,0,6,9,0,3,0,2,0,0,0,3,0,0,4,0,9,0,0,0,4,5,3,0,2,2,0,0,9,0,0,1,3,0,0,0,6,2,2,0,2,0,4,1,2,0,0,2,1,5,4,9,7,2,4,1,5,0,0,6,1,5,2,0,6,0,0,0,0,0,4,9,2,0,0,5,3,1,0,0,0,9,1,0,4,0,0,0,0,3,0,0,0,0,6,1,2,2,1,0,0,0,0,0,0,0,0,2,0,4,0,3,5,0,2,2,3,0,4,9,0,1,0,2,2,0,3,4,0,0,0,6,0,0,9,0,2,1,2,0,0,5,1,0,2,0,4,2,7,2,5,9,1,6,4,1,0,0,5,0,0,6,2,4,0,9,0,3,0,1,0,5,0,0,0
Ppil3,0,0,3,0,0,1,0,4,3,1,3,2,0,0,0,0,0,2,0,0,0,0,2,5,4,0,2,4,0,0,7,1,2,0,0,0,1,0,0,3,0,0,1,0,4,3,0,5,0,0,0,3,3,4,0,1,0,4,0,1,0,2,0,1,0,7,2,0,0,4,0,0,7,0,0,0,0,1,0,0,0,5,1,2,2,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,3,2,1,3,0,2,2,0,1,0,2,5,0,2,4,7,4,0,0,0,0,0,1,0,0,3,4,0,0,3,5,3,1,3,1,0,0,0,0,0,0,4,0,4,1,0,4,2,0,0,0,1,2,7,0,0,0,0,7,0,0,0,0,0,0,1,1,0,2,0,2,5,0,2,2,0,0,0,1,0
Ppm1g,4,0,2,6,5,7,7,2,4,10,5,3,1,10,6,3,3,14,7,9,14,7,5,5,7,0,2,18,7,10,10,2,4,7,0,4,2,8,2,4,3,12,5,7,1,3,13,7,10,4,4,5,10,8,8,0,1,9,7,0,21,4,0,5,2,10,6,0,6,4,5,5,15,3,0,15,0,7,3,9,3,8,7,7,3,5,1,0,6,0,1,12,3,2,3,4,10,10,6,7,2,4,7,0,5,1,9,3,5,3,7,2,6,14,2,0,2,7,4,5,14,5,18,10,7,0,7,2,8,4,2,7,10,4,1,3,4,5,7,3,0,10,5,7,4,13,8,12,10,8,1,9,0,7,4,4,5,21,5,5,6,10,15,0,2,6,15,0,3,3,0,0,9,7,7,5,7,3,3,8,0,12,1,0,6,1,3,2
Ppm1m,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,2,1,0,0,1,0,3,0,0,0,2,0,0,3,0,0,1,2,0,1,4,2,1,1,3,3,1,0,3,2,0,0,5,0,1,4,4,0,0,1,0,0,1,1,2,4,3,0,0,0,6,3,3,4,0,8,0,0,0,2,0,0,2,0,3,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,2,0,0,0,1,0,3,0,0,2,3,0,2,0,2,4,0,1,1,0,1,0,1,0,1,0,3,0,4,3,1,5,2,0,3,0,4,1,0,1,0,3,2,4,1,0,3,0,0,0,4,0,3,8,6,0,0,2,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0
Ppp1r2,0,0,0,1,0,3,2,0,6,5,0,0,0,5,0,0,0,3,2,5,0,3,0,2,2,0,1,3,0,5,0,2,0,0,0,4,0,4,1,0,0,0,0,1,1,0,0,1,1,6,2,0,0,2,0,1,0,0,0,0,3,4,0,0,1,5,2,4,0,2,3,0,2,0,2,0,1,7,0,1,2,0,1,0,0,1,0,4,8,2,0,0,3,1,0,0,5,5,1,2,0,6,2,0,0,0,5,0,0,0,3,0,0,3,1,0,2,3,0,2,0,0,3,0,2,0,0,1,4,4,0,0,5,0,1,0,2,0,1,0,1,0,0,1,6,0,0,0,1,2,0,0,0,0,2,4,3,3,0,0,2,5,0,0,1,0,2,4,0,0,1,2,1,1,7,1,0,2,0,0,2,0,0,4,8,0,3,1
Ppp2ca,0,7,11,0,4,6,8,5,17,6,5,0,8,12,4,6,12,10,4,4,2,2,7,5,5,0,0,6,4,1,7,6,4,9,4,6,0,6,10,8,7,5,6,10,0,5,11,5,4,8,9,1,0,14,4,0,7,6,3,3,6,5,4,8,11,18,2,2,0,12,14,0,20,10,1,13,0,13,4,5,5,12,13,2,4,8,9,2,1,6,8,4,3,5,12,0,12,6,0,8,5,17,4,7,4,8,4,6,5,0,6,11,4,10,0,0,6,2,4,5,2,7,6,7,5,4,4,10,6,6,0,9,1,8,0,7,9,1,5,5,0,0,6,10,8,11,4,5,4,14,7,6,3,3,12,5,14,6,0,8,2,18,13,4,11,0,20,2,10,4,0,1,5,13,13,8,2,5,4,12,6,4,8,2,1,9,3,5
Ppp3ca,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,7,0,5,0,3,11,0,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,6,0,0,0,2,0,0,2,0,2,0,0,0,10,1,3,0,0,0,0,0,6,0,8,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,3,0,0,3,0,5,0,0,7,3,0,0,0,11,0,0,2,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1,10,8,0,0,0,0,3,6,0,0,0,0,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0
Prdx6,7,21,13,0,2,15,15,6,11,14,12,18,0,8,12,8,18,11,27,8,13,13,3,14,0,9,8,4,7,0,15,0,0,20,22,0,0,16,8,0,0,6,4,6,18,1,23,8,5,26,17,19,8,25,9,0,0,4,6,4,38,8,8,2,0,10,0,3,7,2,0,0,6,9,9,23,1,6,6,21,4,23,21,0,15,0,27,4,8,12,0,13,13,0,18,7,8,14,0,15,6,11,27,21,2,0,8,8,12,18,15,13,12,11,8,9,0,13,0,14,13,3,4,15,0,22,7,8,16,0,0,20,0,0,18,0,17,19,8,1,0,8,4,6,26,23,9,6,5,25,0,4,4,6,2,8,0,38,0,2,0,10,23,8,0,7,6,3,9,6,1,9,21,21,6,0,0,4,15,23,12,13,0,4,8,27,13,0
Prelid2,1,0,5,0,0,2,0,17,0,11,0,12,5,15,1,13,2,8,8,5,5,16,1,6,0,0,12,2,0,0,4,4,19,4,2,0,3,4,0,10,0,3,0,11,1,3,8,5,10,5,6,7,6,5,3,0,10,10,11,6,0,0,0,0,7,9,5,13,4,2,4,4,22,2,0,17,0,1,0,0,0,8,0,0,9,0,2,0,3,0,4,6,4,0,2,1,15,11,0,0,17,0,8,0,0,5,5,13,0,12,2,5,1,8,12,0,4,16,19,6,5,1,2,4,0,2,0,0,4,0,3,4,0,10,1,0,6,7,5,3,0,6,0,11,5,8,3,3,10,5,10,10,6,11,2,0,4,0,4,0,5,9,17,0,7,4,22,13,2,0,0,0,0,0,1,0,0,0,9,8,0,6,4,0,3,2,4,0
