name,mean,fano,skewness,kurtosis,p+telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,p+cross-talk,la1,la2,q1,gamma,nu,p_crosstalk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
Pi15,1.50000001,6.386904921,5.690320992,48.07992569,0,0.441670746,1763883562,9940472759,0.602646039,735.3075005,1.499155849,4.378770913,2.991071363,12.94914161,0.121021531,2,0,0.441670893,0.441670541,0.708332472,1774285206,9999106287,0.602645203,737.4000815,1.499156083,4.378771094,2.991071194,12.94914003,0.121021539,2,,0.7183114,0.717934792,1695278489,9999353251,0.70607791,735.5554097,1.493614172,4.514589939,3.171969864,14.734562,0.119690303,2,,123305875.5,0.718110498,0.718110498,0.503379292,2863849957,9992697770,0.600894821,737.6669572,1.493767124,4.514979733,3.171936444,14.73393412,0.119698373,2,,0.441685572,1773706534,9993569088,3.33E-05,0.602649155,737.4000815,1.499156185,4.378770841,2.991070994,12.94913838,0.121021539,2,,0.441671386,1773861191,9996799930,1.84E-09,0.602638889,737.4000815,1.499154889,4.378764029,2.991069719,12.94913017,0.121021427,2
Mcm3,1.754464309,6.563601958,3.154465971,12.93062295,0,0.275571677,12.47862378,183.7044458,0.447606749,746.885132,1.727512934,6.257017045,2.949485231,10.47268499,0.12071847,2,0,0.275573937,96.98302044,0.500576663,28.57750289,210.3684818,0.448074964,748.9774705,1.727423531,6.256620392,2.949576065,10.47382253,0.120714459,2,,0.460398288,0.424376078,4.867440394,92.41961474,0.440662912,748.8412439,1.730214157,6.336199269,2.963198527,10.48366632,0.120969912,2,,4.691375017,0.429595534,0.429595534,0.502993524,26.88412023,257.725578,0.458738595,750.9313787,1.727344481,6.276618347,2.941767157,10.36431606,0.120364562,2,,0.276194619,13.03214618,188.4997497,0.000824325,0.449322132,748.9784017,1.727135955,6.254969886,2.950688784,10.48435134,0.120706246,2,,0.275641701,13.16888535,194.1663223,0.003536897,0.448397715,748.9788998,1.727363239,6.257464014,2.950101744,10.47743742,0.120722077,2
Smap1,2.758928577,7.817123364,3.659834876,22.7036467,0,0.272692797,5.223095864,112.9323658,0.488101199,901.4160117,2.724682475,8.941408611,2.850767994,9.968815026,0.193508016,2,0,1.835608457,6.69E-06,0.999996493,3388594639,9992909933,1,878.4375592,2.75841127,6.594346817,2.061391531,5.243502646,0.133086228,3,,1448.539539,0.272692803,5.222290579,112.9362808,0.488099087,903.5085926,2.724676041,8.941434808,2.850783551,9.968941466,0.193508078,2,,2.628188648,0.163735291,0.163735291,0.053857805,25.0472763,69.65663104,1,888.5591523,2.629049127,6.237773138,1.946278386,4.219833353,0.136564866,2,,136.5720426,201664.9585,235.0692652,923.5968737,0.405134485,896.6268913,2.764837419,7.013140682,1.982432369,4.038959635,0.159135892,2,,0.229840452,1.37406176,69679553.72,169795.8227,0.523284871,899.2257634,2.683640808,7.917808055,2.495993949,7.411173454,0.179418954,2
1110058L19Rik,4.370535735,3.816389746,1.214511955,1.765219753,0,0.869968126,2.428071916,36.63341892,0.451390855,1156.303071,4.349499351,3.799044449,1.108962959,0.886538107,0.103847647,2,0,7.442804729,0.689927446,0.864461194,47.87988597,84.51009414,0.823578031,1157.307776,4.337216339,3.723111452,1.090638907,0.945107993,0.099834396,2,,0.86997129,2417.094015,2.427229279,36.63409804,0.451385167,1158.395653,4.349495708,3.799045428,1.108966645,0.886551105,0.103847693,2,,5.301595484,1.170685349,1.170685349,0.297024937,5.355826189,41.65282554,0.462744478,1160.145031,4.341951711,3.688600633,1.079068433,0.835398814,0.100726514,2,,3.894016636,301.9377662,69.51632943,4.603717836,0.624541501,1157.533673,4.351143176,3.750003273,1.099725564,0.942461199,0.101171669,2,,0.742114285,1.00E-10,122.7170589,2.799107607,0.999999906,1157.614954,4.346111634,3.767988267,1.112652389,0.96957086,0.101745201,2
Lmbrd1,1.174107142,2.723231261,1.958139785,3.633266997,0,0.513615939,1083482320,9634968484,0.295826919,671.3677794,1.11857765,2.451285217,1.810625516,3.040016203,0.046908062,2,0,0.514414675,0.512616318,0.689476393,9752.185044,86709.96107,0.295754905,673.460478,1.118753831,2.45087799,1.810316013,3.038909621,0.046915625,2,,0.761724247,0.761715831,5.907280148,82.95019483,0.267030012,673.2135068,1.121417094,2.466885239,1.813687441,3.034062442,0.045932757,2,,126.8957126,0.761766324,0.761766324,0.50069187,12.40953855,87.21320558,0.267136344,675.3253507,1.121406716,2.466870808,1.813711448,3.034193516,0.04593138,2,,0.538215327,1643.484885,9840.919448,0.049710531,0.29530348,673.4618084,1.119620733,2.452144432,1.809099387,3.031678286,0.046929608,2,,0.513615686,1124253857,9997531669,1.40E-09,0.295826872,673.4603604,1.118576903,2.451285253,1.810626394,3.040020388,0.046908075,2
Phf3,1.535714297,5.411960219,2.647859937,9.021652459,0,0.073279738,0.243139996,6.505510607,0.999088174,659.3409269,1.505202044,4.793567649,1.848658579,2.68525191,0.120194739,3,0,3.344438527,1.30E-10,1,3674.277629,4810.790805,1,642.6759101,1.531834702,5.0809927,2.125547718,4.648842164,0.09619575,3,,0.07328036,566.0856256,0.243111649,9.319190439,0.697441596,661.4335078,1.505199854,4.79356811,1.848662768,2.685272169,0.120194845,3,,1.099676441,0.121252493,0.121252493,0.476644898,0.459029524,12.73342329,0.567442614,661.7320747,1.496684203,4.932473209,1.936027312,3.126431462,0.122587226,3,,3.826664085,6669.87933,64.62010839,139.6449951,0.320043316,649.7476137,1.535122397,4.960913309,1.959087453,3.455246271,0.106864271,3,,0.090946346,2.32E-07,8.393796893,0.076828958,0.99999853,660.5989243,1.479876853,5.04787475,2.035419417,3.63492859,0.129853082,2
Bag2,4.741071463,6.503749771,2.418094551,9.508049447,0,0.903125999,1030372547,9998589701,0.541420225,1196.896167,4.724544211,6.108296987,1.97510705,5.203310936,0.168230392,2,0,0.903125777,0.903126002,0.519561375,1030498282,9999808303,0.541420314,1198.988749,4.724543686,6.108297074,1.975107188,5.203311727,0.168230385,2,,3.329510682,0.970423335,9948453.839,116959275.3,0.537443159,1198.875962,4.719508219,6.216206628,2.038420924,5.557852895,0.168803929,2,,0.728581949,1.701437407,1.701437407,0.56405577,899607372.7,9999857530,0.538589063,1200.958948,4.720565492,6.171451053,2.018409052,5.457163928,0.168453498,2,,0.903125899,818108094.8,7938804010,1.69E-09,0.541420312,1198.988749,4.724543686,6.108297007,1.975107179,5.203311698,0.168230385,2,,0.903125866,633536832.6,6147754327,0.000351168,0.541420076,1198.988749,4.724544027,6.10829749,1.975107155,5.203311386,0.168230393,2
Dst,5.49999999,4.336038984,1.360538702,2.313689963,0,1.425670876,18.33801388,178.9099075,0.427862744,1245.18515,5.467714198,4.240254279,1.305563174,1.816190168,0.143522571,1,0,1.425668909,1.425673953,0.550788014,18.33814425,178.9111875,0.427862326,1247.277732,5.467712749,4.240254663,1.305563706,1.816192073,0.143522561,1,,1.993215098,1.993237294,5.823271057,87.83738711,0.429066226,1247.058453,5.469347477,4.260425354,1.300771255,1.759700934,0.143384502,1,,8.511188781,1.945678079,1.945678079,0.49431543,18.62266771,145.6416417,0.438191832,1249.158433,5.473656115,4.235956661,1.295099629,1.75852468,0.143113055,1,,1.448529278,24.02547899,199.6255592,0.016163309,0.431357483,1247.280271,5.46807398,4.241475099,1.306294319,1.819098739,0.143536551,1,,1.425677587,18.34272197,178.9539067,2.39E-05,0.427868384,1247.277735,5.467711279,4.240255572,1.305568189,1.816211554,0.143522553,1
Imp4,2.357142882,3.968614782,2.217328314,6.970254339,0,0.641729296,8.06428884,73.10268492,0.437629379,918.6119159,2.339562279,3.937214496,1.924375103,4.343373615,0.109838925,2,0,0.003432987,1.373234342,0.000661929,4526702994,9824606004,1,917.5273189,2.342376248,3.689574301,1.784098246,3.855765809,0.097705182,2,,0.641735065,428.1433356,8.052054522,73.10344148,0.43761484,920.704497,2.339572653,3.937203469,1.924367943,4.343340141,0.109839033,2,,1.362969136,0.00670685,0.00670685,0.000649777,462.2379508,1012.889796,0.999995507,919.6597273,2.343205167,3.691106077,1.78320684,3.847895906,0.097790283,2,,12.43989282,1762.050858,75.94338515,20.46714455,0.862690209,920.4246187,2.344815057,3.86232395,1.845582575,3.932857757,0.107877355,2,,0.568374736,3625561.723,59900140.01,276021.641,0.467291001,920.3566969,2.346269118,3.852261731,1.834592492,3.878329239,0.107565706,2
Fam168b,2.294642877,5.857108207,2.881540258,12.47362166,0,0.391162612,8.613434017,113.9191965,0.464454223,875.6264503,2.27389501,5.830444082,2.49358831,7.55182266,0.155944567,2,0,2.179261388,0.295047274,0.673762914,295790.7212,960225.1871,1,876.8575989,2.2755059,5.524711763,2.358988336,6.84723446,0.150988543,2,,0.391161394,7865.139507,8.612784041,113.9179421,0.464450149,877.7190313,2.273899408,5.830453844,2.493584385,7.551788461,0.155944769,2,,1.838113681,0.428339896,0.428339896,0.225246069,88.36225829,300.0328707,1,879.0021992,2.27058317,5.494763903,2.348006921,6.774012517,0.150619471,2,,10.42808726,13738.47228,472.2518588,27.60563972,0.511419691,877.4665119,2.280666077,5.685742279,2.395721069,6.91830619,0.154280842,2,,0.364377862,396885838.9,7562453726,15578356.11,0.511564965,877.465125,2.280693973,5.684877301,2.395183384,6.914960734,0.154269444,2
