name,mean,fano,skewness,kurtosis,telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,cross-talk,la1,la2,q1,gamma,nu,p+crosstalk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
1500012F01Rik,4.638297882,2.769959011,0.62993932,-0.19705302,,0.84753588,0.88021357,28.54493268,0.332382522,966.4859586,4.586023823,2.692311276,0.579373035,-0.415082333,0.077138263,2,,3400.312679,0.84752075,0.489544528,1.724737693,28.55159334,0.332385744,968.5970497,4.586038817,2.692318896,0.579365906,-0.415097305,0.077138192,2,,1.219762778,1.219736088,0.555753219,8.997980731,0.98636511,968.2263195,4.587383915,2.690315715,0.56647766,-0.447537738,0.075483286,2,,29.60597695,1.221731625,1.221731625,0.499289197,1.140025181,26.12135916,0.347119759,970.3448041,4.589021004,2.692143214,0.566864769,-0.448467074,0.075590164,3,,0.84804036,0.886314881,28.91350772,0.000308503,0.328762867,968.5994134,4.586388577,2.692468737,0.579222733,-0.415900923,0.077188884,2,,0.847533273,0.880206213,28.54410298,1.93E-09,0.332391839,968.5970496,4.586032556,2.692314521,0.579371918,-0.41508445,0.077138112,2
1600020E01Rik,1.191489363,2.094224929,1.39968921,1.437362817,,0.358322645,1.422138865,117.5778402,0.140347057,567.9905997,1.175554076,2.048728676,1.356172421,1.183096695,0.089894966,2,,0.348946433,0.346863086,0.501025993,0.957677915,45.17300382,0.144282742,570.1086071,1.175675495,2.047728842,1.354929574,1.180534996,0.089902881,2,,0.396725602,1.080730647,1.146637157,211.067581,0.137403433,570.0937393,1.1759763,2.049816038,1.355013206,1.17434256,0.089974324,2,,20.07847894,0.555626458,0.555626458,0.499295588,2.173885291,200.9255665,0.136612478,572.2292515,1.176481276,2.048928301,1.352763229,1.164840221,0.090051968,2,,2.625746429,1.720342123,24.35008093,1.993310503,0.491806254,2.00E+30,1.256306181,4.991165544,2.326022595,2.531379335,0.670092266,1,,0.350937699,1.75386038,103383065.6,0.009532373,0.139465952,570.104808,1.175639095,2.048191499,1.355485457,1.181702345,0.089898942,2
1700001L05Rik,1.042553194,3.794181517,2.229170206,4.908060606,,0.084466864,0.306079881,11.92336038,0.40324422,475.0139062,1.026332342,3.632690217,2.040704462,3.569586487,0.125780933,3,,0.084423637,91.15578752,0.494132792,0.62093434,5.860202334,0.822977897,477.1244247,1.026368101,3.632268778,2.040456439,3.568543198,0.125773056,2,,8937078.178,0.084448752,0.305974249,4.807532246,0.999999999,477.1250798,1.026336441,3.63261109,2.040632864,3.569244146,0.125779089,2,,1.378791217,0.132407197,0.132407197,0.496203286,0.492977682,9.473853298,0.535011206,479.0988725,1.024616845,3.640555506,2.054065475,3.647065011,0.125544809,2,,0.641371933,400.6576398,39.17652251,14.51587704,0.319547026,476.4068481,1.019698674,3.640132739,2.090652731,3.901068135,0.124079352,2,,0.078481462,0.096596735,23.25642281,0.011468189,0.21296324,477.4457335,1.005937218,3.602579647,2.043249452,3.56784606,0.124990028,3
1700020I14Rik,1.65957447,3.019912724,2.20433813,6.537553629,,0.775770792,93.49420952,484.2405443,0.419373132,668.6894959,1.629595332,2.855605791,1.904111249,4.165949507,0.125656044,2,,0.485327209,1.685127752,0.278835835,2613394595,9999993804,0.434679437,670.5845124,1.629758894,2.806590357,1.83820823,3.86349985,0.123554849,2,,0.775736342,85.95383465,91.2502585,477.0282558,0.419315284,670.8005973,1.629599844,2.855567632,1.904064949,4.165713095,0.125655552,2,,0.223821473,2.176334653,2.176334653,0.915401294,143.7775273,292.5426877,1,672.5424017,1.629785263,2.783614748,1.827893838,3.853899814,0.122295068,2,,0.776189752,94.42768858,487.5253305,0.000496028,0.419400658,670.800589,1.629591715,2.855617154,1.904138791,4.166097635,0.125656309,2,,0.774210194,179755.4606,934238.6671,391.9650793,0.423345449,670.8004113,1.629702356,2.855025879,1.902966321,4.159940782,0.12563972,2
1700021F05Rik,2.702127669,3.313620382,1.298635925,1.079854375,,0.656270948,3.203347087,55.66656593,0.306715916,813.9931775,2.595497634,3.146774463,1.206683598,0.743973036,0.153126214,2,,1.612960322,0.537690003,0.497038738,4.696886515,63.24872719,0.312753483,815.8713943,2.596703473,3.125585044,1.192413959,0.719759646,0.153043414,2,,0.659189171,6.734649593,2.848802817,54.60846955,0.305797244,816.0999104,2.595589117,3.148572917,1.207701141,0.745857504,0.153091321,2,,0.496669325,2.38602796,2.38602796,0.508573541,4.054909213,62.8646709,0.31155269,817.8577383,2.597480686,3.122538407,1.190369128,0.718314241,0.152812244,2,,0.655544852,5.811076648,62.01003729,0.048128549,0.314716788,816.1420308,2.599632494,3.128713199,1.192984842,0.713476615,0.153567509,2,,0.609236373,2.490390432,69.09331431,0.079351661,0.310951651,816.0629679,2.600160044,3.128346959,1.189807446,0.705517165,0.153519256,2
1700061G19Rik,1.234042556,4.093543677,4.210191092,24.20115875,,0.604967957,2739966271,9987165342,0.559701986,579.2048827,1.229343228,2.981842214,2.484335089,8.357061003,0.14257801,2,,0.605121358,0.605121343,0.527892778,329269551,680039788.5,0.987427037,581.3175081,1.229186197,2.981176919,2.484236293,8.356964644,0.14255698,2,,0.971139362,0.971139547,2196372838,9998772453,0.556984576,579.7322141,1.223925535,3.027509038,2.580987638,9.094470948,0.141128298,2,,9999896706,0.971458886,0.971458886,0.303236222,304985591.2,399654264.3,0.586434672,581.8672073,1.223665798,3.026541756,2.580917963,9.095064465,0.141097877,2,,0.605121377,4903268870,9999388762,4.09E-10,1,581.3175084,1.229186191,2.981176843,2.484236272,8.356964561,0.142556978,2,,0.604992335,2746671689,9999960399,5084.792117,0.560339516,581.3162019,1.229349328,2.981756572,2.484282179,8.356739288,0.142576675,2
1700123O20Rik,1.446808515,2.553191497,1.780370811,3.610232816,,0.583831958,2.723984817,25.31450953,0.324270862,627.9449016,1.425669338,2.463064273,1.642631707,2.634447338,0.091969865,2,,2.150433224,0.50094071,0.497966799,5.356172501,34.68767752,0.318468152,629.991048,1.42452502,2.456206569,1.641757708,2.651143723,0.091525875,2,,20602.07539,0.583835163,2.723981967,25.31417206,0.324280617,630.0559926,1.425667285,2.463066585,1.642637506,2.634474283,0.091969877,2,,0.482264751,3.321388493,3.321388493,0.481244116,4.968354021,35.78300499,0.316100587,632.1116961,1.424306807,2.454714215,1.641941838,2.657349585,0.091450809,2,,1.640371835,140.9901357,63.64421671,2.169836501,0.335810199,629.9956486,1.424950355,2.451699681,1.634566534,2.620167004,0.09129339,2,,0.512100056,91894714.64,9888263359,118951523.4,0.335389485,629.9916536,1.424855958,2.451056371,1.634511228,2.621651403,0.091261993,2
1810009A15Rik,11.45744685,5.661401862,0.752768497,0.05408543,,1.368907957,3.382939186,94.80310062,0.423785601,1279.421321,11.20804892,5.557199735,0.682033561,-0.257573941,0.19835767,1,,1.178237275,3.073627586,0.473010181,5.752173121,118.2115739,0.423171587,1281.074179,11.2058149,5.51912872,0.675477148,-0.242372316,0.197052505,1,,1.368893779,1012.264359,3.378185792,94.79942682,0.423787939,1281.532413,11.20805243,5.55719387,0.682027802,-0.257582997,0.198357529,1,,1.123887393,4.292704424,4.292704424,0.500375709,4.63381026,114.6088166,0.421226762,1283.065692,11.20709282,5.514054711,0.676524585,-0.234155589,0.196815274,1,,1.394429128,32.48238946,133.9734864,0.249168543,0.514434321,1281.709272,11.14483316,5.41365601,0.654717518,-0.237362385,0.194680377,1,,1.177610835,0.007239122,451.2350428,0.48097493,0.436200293,1281.156579,11.20553772,5.480625166,0.662411927,-0.25374583,0.196447694,1
1810013L24Rik,2.053191499,2.490849965,1.264094711,1.061082371,,0.808731495,5.474567136,68.94009198,0.261869679,730.0129234,1.972538492,2.326311964,1.170182172,0.714930725,0.116370162,2,,0.808737055,0.808723195,0.499375565,5.474886956,68.94486968,0.261868347,732.1240144,1.972539596,2.326313689,1.170180594,0.714923927,0.116370191,2,,1.191966492,1.192005183,2.930131856,54.68232431,0.253387605,732.0714608,1.972968695,2.336647775,1.177657624,0.72423858,0.116206109,2,,0.989982029,1.105409355,1.105409355,0.560954362,3.682877367,57.60541102,0.257032052,734.2170001,1.973041515,2.335994487,1.174724039,0.718148369,0.116176657,2,,0.714510702,1.87302877,7.895417318,2.62E-06,0.942355353,732.6835882,1.96359136,2.293381892,1.155530656,0.703223748,0.11717368,2,,0.838465878,49573749.72,579570576,0.011404557,0.276429068,732.1621192,1.971294799,2.325435347,1.171628614,0.718480456,0.116400588,2
1810026J23Rik,1.329787238,3.142212772,2.128606059,4.78884897,,0.500538784,1147804210,9995856440,0.333564434,596.4984569,1.280053837,2.881589994,1.94760042,3.792491675,0.111701907,2,,0.500555337,0.500474283,0.548998423,393147.7519,3423544.937,0.333604207,598.6095495,1.280065737,2.881693166,1.94762796,3.792561318,0.111701041,2,,0.805441159,0.7044407,6.493284656,85.93841618,0.305678564,598.5521973,1.282487,2.900285587,1.954547678,3.804654929,0.1119017,2,,25499.00521,0.751243471,0.751243471,0.500511609,12.89866079,85.42009352,0.305731155,600.6863049,1.282098649,2.899637699,1.955058538,3.807877004,0.111883434,2,,1.197562529,63.19315754,28.227581,1.634345729,0.952720973,599.1878451,1.267977268,2.823849756,1.928487592,3.753773457,0.11157155,2,,0.500533224,36776.38357,320285.2681,1.00E-10,0.333557438,598.6095617,1.280054983,2.881589116,1.947596377,3.792471768,0.111702002,2
