name,mean,fano,skewness,kurtosis,p+telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,p+cross-talk,la1,la2,q1,gamma,nu,p_cross-talk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
Mcm3,1.852678566,5.359369618,2.280222681,5.378617084,0,0.268532002,2.968663603,68.15820353,0.345605302,773.5382919,1.793873587,5.125737912,2.182583755,4.63879878,0.12086167,2,0,0.276859557,0.260913951,0.494980131,2.966314463,68.04852612,0.345687168,775.6118742,1.79344642,5.125151272,2.182798896,4.640347972,0.12085247,2,,0.268950965,5.854039648,2.801828495,67.37895485,0.345090762,777.7024653,1.793820115,5.127885106,2.183639415,4.643477903,0.12085827,2,,1.724271939,0.385981615,0.385981615,0.494997431,4.689782837,79.93108653,0.351833469,779.7489123,1.795762761,5.091844744,2.163442803,4.552746571,0.120707831,2,,0.257214337,2.003718092,15.92545439,0.005058526,0.999999999,778.2361377,1.78438961,5.004583279,2.142333396,4.474813331,0.121078878,2,,0.256253464,15.29408513,747.1553514,0.979803811,0.372684804,777.8099647,1.792630047,5.063211573,2.159039934,4.54483729,0.120828359,2
Smap1,2.258928568,4.851743382,2.045086587,5.894929995,0,0.192504995,0.558061505,17.16413465,0.502026869,845.0240081,2.210001651,4.659545947,1.547595817,1.74249073,0.133175493,2,0,0.048331482,1.824328413,0.03882884,4.582434147,16.38004014,1,833.8929046,2.307302429,4.686199914,1.616646044,2.389855411,0.117235787,2,,744117838,0.192506273,0.558067207,8.619653128,0.999676545,849.1901466,2.209997899,4.659538224,1.547598766,1.742505562,0.133175465,2,,0.000205276,4.465785695,4.465785695,0.999911457,517.6380199,1032.383625,1,833.4972055,2.256808239,4.651756854,1.706019112,3.081640417,0.109717185,3,,49816.83359,42821392.08,79.10246276,685853.986,0.333008771,838.0789172,2.258641562,4.546450626,1.510017299,1.827518387,0.114695991,3,,0.195871205,8.94E-09,12.19273292,0.148676968,1,846.9794024,2.192571566,4.813582313,1.678005142,2.374700921,0.135872376,2
1110058L19Rik,3.700892857,3.315994956,1.280958423,1.633628914,0,1.02296247,4.010969866,50.8760814,0.359696165,1088.06833,3.654463865,3.250193752,1.151118022,0.975217544,0.096045167,2,0,0.113755516,2.32684046,0.008554242,243.2688479,529.7836746,0.866244222,1087.329708,3.648196462,3.130998186,1.125454846,1.066519618,0.083519991,3,,1.022958511,35934.86963,4.01070057,50.87413636,0.359699451,1092.234469,3.654463495,3.250183323,1.151113603,0.975207797,0.096045079,2,,2.630756653,0.477295402,0.477295402,0.024184191,77.81214882,191.179328,0.739287431,1092.137645,3.67371794,3.061008783,1.106383108,1.018045682,0.086028542,3,,18.1149954,3143.150163,147.0248583,21.8291017,0.396244139,1091.632689,3.654428401,3.189093021,1.099464718,0.861923517,0.093341249,2,,0.840322673,1.68E-07,9998684619,56985835.86,0.391665733,1091.648377,3.654648216,3.202600413,1.116026524,0.906548935,0.093562157,2
Lmbrd1,1.267857137,2.612424524,2.15920704,6.542478977,0,0.549604805,3.685515236,24.10896562,0.404849005,698.9205595,1.255522069,2.553184947,1.902582253,4.003159329,0.111489001,2,0,2.346369531,0.466783924,0.502324144,7.703614157,33.71384614,0.408228017,700.6279461,1.254852468,2.541341789,1.890866038,3.969322802,0.110201433,2,,13575.25179,0.549602661,3.685314338,24.10858828,0.404852254,703.086698,1.255523595,2.553187461,1.902580181,4.003144967,0.11148908,2,,1.886414259,0.340153075,0.340153075,0.066947651,66.3273394,118.1920534,0.637696494,704.2473623,1.244809303,2.489153661,1.864158312,3.917080215,0.107066745,2,,4.484858866,175.1454411,18.71656711,8.600082534,0.763573526,702.7963675,1.259934157,2.507643497,1.838987574,3.691336736,0.109113081,2,,0.446381646,125287520.5,9986902363,174645379,0.39430439,702.708872,1.258932888,2.520530647,1.843299052,3.708380329,0.109157977,2
Phf3,1.611607166,7.122464979,2.925175755,9.835867896,0,0.120128345,1.155335988,40.24338474,0.413987021,639.9784195,1.542981807,7.410820004,2.781573999,7.896527786,0.166224798,2,0,2.92E-06,1.781023118,3.23E-06,3119078042,8390266291,1,630.0835927,1.572921244,6.484182813,2.532144586,6.888382425,0.138653536,3,,0.120127957,2014.296317,1.155272023,40.24539799,0.413969162,644.1445579,1.542980997,7.410846601,2.781579932,7.896559684,0.166224813,2,,1.633364413,0.082314375,0.082314375,0.064913877,57.77270994,661.0084444,0.326661248,638.3571917,1.593126957,6.601007608,2.521636858,6.562676477,0.149154212,2,,37940.07549,66470941.72,124.3880452,611541.1746,0.422684261,638.3436991,1.599952159,6.730361987,2.455531684,6.046241941,0.153549842,2,,0.107967572,1.12E-06,54.33088418,0.071256557,0.404484388,642.0858165,1.535028121,7.200595244,2.743983354,7.764187833,0.161574498,2
Rab23,1.093750004,2.542984715,2.605804502,9.449001513,0,0.827758305,3504541687,9999151031,0.463255844,654.4917807,1.088050601,2.266031162,2.137080717,5.957011378,0.094454384,2,0,0.827750412,0.82776082,0.47555593,3500175419,9986359441,0.46327222,656.5653382,1.088049472,2.266033478,2.137083291,5.957025243,0.094454385,2,,1.304760201,1.304760958,2683373847,9999932814,0.449867322,657.8482493,1.085221026,2.293500065,2.201232119,6.377985037,0.093172903,2,,267439.0761,1.307393453,1.307393453,0.786010736,7610424635,9999919854,1,659.9721621,1.08441489,2.290799003,2.201372831,6.383739242,0.093087,2,,1.930005049,9999144093,4653373727,1.33160416,0.46325615,658.6579192,1.088050695,2.266031053,2.137080557,5.957010506,0.094454385,2,,0.827727602,32344.59875,92073.13208,1.00E-10,0.464351864,658.6582383,1.088048319,2.26602211,2.13706157,5.956885,0.094454418,2
Bag2,3.785714319,6.650606564,2.559712714,8.560079198,0,0.739418021,986787607.3,9998859741,0.507608475,1099.178726,3.750163693,5.777593999,2.037295963,5.13406905,0.144361787,2,0,0.739418213,0.739418237,0.516649043,986854481.6,9999542967,0.507608136,1101.252283,3.750164332,5.77759348,2.037295673,5.134067509,0.144361793,2,,1.142617795,1.142619693,745924262.1,9998886340,0.498750579,1102.520796,3.737403123,5.936388039,2.125130339,5.568529834,0.144338699,2,,0.944656705,1.13901744,1.13901744,0.955186552,2402170.398,31748889.44,0.49986352,1104.654738,3.749332832,5.930922423,2.118248691,5.529608035,0.144492128,2,,0.739437073,123133371.4,1247712120,5.45E-08,0.507588301,1103.344865,3.750216795,5.777540765,2.037271333,5.133943064,0.144362232,2,,0.739419341,986861264.6,9999564576,3.62E-05,0.507609548,1103.344864,3.750163144,5.777586428,2.037295431,5.134069221,0.14436172,2
Dst,5.781250041,4.103692106,1.045052217,0.889387749,0,1.184576641,3.791703702,59.80187042,0.406656576,1259.043196,5.752077582,4.018589197,1.019693596,0.707793261,0.116727075,1,0,63.36055174,1.183300668,0.499262896,8.00241827,63.34618927,0.406640786,1261.117863,5.752111551,4.018213593,1.019502922,0.707800573,0.116721047,1,,1.684966277,1.684901876,2.081652286,47.39591661,0.423432936,1262.918219,5.755751924,4.035537997,1.008269827,0.62913742,0.116069588,1,,14.45917073,1.667566606,1.667566606,0.499760599,4.565992782,53.48839336,0.421133554,1265.01459,5.755013,4.031307616,1.008188709,0.637612558,0.115950466,1,,1.180575662,3.914639693,24.17385759,0.010868068,1,1263.254422,5.754404281,4.018157938,1.014593606,0.694282896,0.116611669,1,,1.173777972,3.614165883,44.00015348,4.33E-05,0.536203185,1263.239683,5.749371627,4.005483757,1.012082211,0.688042593,0.11640451,1
Ccdc115,1.303571437,3.730675186,2.26265997,5.868145368,0,0.25117233,1.39005234,16.77920943,0.506462959,674.7693992,1.289722564,3.65310012,2.125031269,4.588493084,0.094106143,2,0,6.868890795,0.210975653,0.887465896,80.54250416,70.71828491,1,676.4162275,1.283105635,3.599778513,2.119740088,4.670096527,0.091967864,2,,2145.959324,0.251169499,1.38985839,8.498130769,0.999986134,678.9355762,1.289729025,3.653117976,2.125024368,4.588441563,0.094106404,2,,1.870283582,0.367243747,0.367243747,0.496354929,2.093705208,25.13243926,0.374006857,680.8776553,1.289228679,3.648877063,2.126145236,4.614314661,0.093567611,2,,2.195273746,748.7736734,82.42393741,9.777022786,0.372928168,678.5683721,1.288916599,3.624608521,2.128467877,4.698459612,0.092756004,2,,0.225408606,0.000791954,43.26167323,0.220051031,0.360403273,678.6479654,1.287786995,3.638526591,2.134696619,4.701653424,0.093123898,2
Imp4,2.750000005,3.9025974,1.943307189,4.865409337,0,0.78361989,10.85604668,98.22585574,0.418430889,978.7125729,2.70694739,3.754526957,1.671896195,2.971793244,0.131058476,2,0,0.005323663,1.424098028,0.00067021,22615.70535,52387.05537,0.981695783,978.4858407,2.702517492,3.549781327,1.5714984,2.711992647,0.122979483,2,,0.783621828,1106.780816,10.84852392,98.22674944,0.418432052,982.8787113,2.706948376,3.754526963,1.671896964,2.971797289,0.13105849,2,,0.055768411,2.395253667,2.395253667,0.988697359,3541039227,9977166271,1,982.4841859,2.688179466,3.5650844,1.595855917,2.828710783,0.12241304,2,,3.66725048,1385.791777,314.0718375,3.991873022,0.447238641,982.7873762,2.709809339,3.721792853,1.637553116,2.827701302,0.130390018,2,,0.735296256,528645519.5,6161217785,16435894.19,0.449372512,982.7810163,2.710941361,3.720082283,1.637258788,2.827756214,0.130374638,2
Fam168b,1.968750012,4.872519858,2.128914389,4.780393053,0,0.305466158,2.214266562,49.53846564,0.331874479,811.7957225,1.941333352,4.805275862,2.03857823,4.099913035,0.092832739,2,0,0.243300194,1.165137443,0.482220613,4.228067172,66.68778483,0.338298624,813.4252562,1.933720843,4.755246743,2.036830971,4.153483137,0.09120796,2,,0.305464425,1641.352219,2.213762951,49.53593597,0.331879591,815.9618609,1.941332049,4.805262693,2.038573567,4.099895015,0.092832606,2,,0.638307601,0.089626759,0.089626759,0.038614922,3.767767255,19.48318745,0.999517656,817.6468408,1.924391848,4.619616563,2.0085852,4.108733596,0.089696743,2,,0.589448052,203.4777152,172.962893,1.188669433,0.365372395,815.6971857,1.941789026,4.719347449,2.005751157,3.999327551,0.091406414,2,,0.27645472,0.001470931,594.6471425,1.643076237,0.357483584,815.7011661,1.93789985,4.734428147,2.019839294,4.064982758,0.091517082,2
Plekhb2,3.142857143,7.013392861,1.757377567,2.761496291,0,0.183906025,0.729317412,28.05760063,0.538745943,919.2196942,2.989647413,7.126813951,1.664209902,1.90538405,0.152488159,2,0,0.148748778,1.262160127,0.497298248,1.185431952,40.85854602,0.407942757,917.0137607,2.999007278,7.076919552,1.659422959,1.935578044,0.143644479,2,,100.4888694,0.184440471,0.727144317,36.05632873,0.419266999,923.3702848,3.000089078,7.122428299,1.658710342,1.883588173,0.152647027,2,,1.629459179,0.006263165,0.006263165,0.002255732,8.668216574,39.46850263,1,910.9907852,3.016145329,6.51665095,1.597389506,1.966862211,0.116020265,3,,1.006773389,1156.622679,125.7041136,10.92147722,0.426211134,912.8248682,3.087450844,6.655709155,1.512691204,1.499284979,0.129381231,2,,0.171728758,7.78E-07,45.21873362,0.03585278,0.397863169,920.4374929,2.96568279,7.083816358,1.691088131,2.063889491,0.146145688,2
Hs6st1,1.008928577,2.486646661,2.432133752,7.37812507,0,0.705013416,2482074546,9997419588,0.357519701,627.3458011,0.99639225,2.285789488,2.144181897,5.559437276,0.075138681,2,0,0.705033375,0.704979159,0.491953818,255561755.8,1029433316,0.357497983,629.4193586,0.996387118,2.285792244,2.14418596,5.55945128,0.075138677,2,,1.111221274,1.112330748,107806.5791,573954.506,0.344828129,631.1462296,0.994398381,2.304451712,2.184545796,5.793359651,0.073908515,2,,85.73706222,1.122551592,1.122551592,0.498931485,5264785356,9999921615,0.476102993,633.3777944,0.990097098,2.29244309,2.193738666,5.885182929,0.073598076,2,,0.724188302,7384646.361,10132950.83,0.013230313,0.996880361,631.5938832,0.992238967,2.273898543,2.151191786,5.62999101,0.074810869,2,,0.705013514,2482635076,9999673626,0.555421167,0.357519818,631.5119395,0.996392349,2.285789456,2.144181775,5.559436615,0.075138683,2
Uggt1,4.223214287,4.301098642,1.645829942,4.60607947,0,0.934084601,5.847830071,62.00151735,0.493763995,1146.46756,4.211445798,4.3692141,1.473471576,2.437942116,0.133192897,2,0,3.149466654,0.747527678,0.649622854,23.96758261,166.4488099,0.438754108,1147.393773,4.241835603,4.343333205,1.461551715,2.489181603,0.131306948,2,,0.934085788,424.0333277,5.834814489,61.99495305,0.493803925,1150.6337,4.211445774,4.369215147,1.473473032,2.437949407,0.133192946,2,,0.782231724,5.212994973,5.212994973,0.499931312,12.43200375,93.89173435,0.509145342,1151.666076,4.211604329,4.303970789,1.448033783,2.417343153,0.130139019,2,,40.1728979,11661.28705,226.4788386,50.56315497,0.480890702,1149.705434,4.217493057,4.242341271,1.378652055,2.076570189,0.128130981,2,,0.777597835,195574117.4,9423709869,41993796.64,0.485523053,1149.702738,4.219687842,4.238771347,1.376133101,2.066596452,0.128072276,2
Cox5b,3.808035708,2.568283164,1.314846504,1.569799648,0,2.68229924,2818707046,9999737277,0.401707224,1061.258516,3.771908534,2.297050584,1.071116961,1.135355521,0.154280986,1,0,2.68229914,2.682299824,0.484808247,2818716178,9999769986,0.401707201,1063.332074,3.77190878,2.297050532,1.071116891,1.135355297,0.154280985,1,,3.981809736,3.981736622,1977689228,9687193793,0.393013685,1064.120847,3.766218107,2.323822721,1.100848181,1.209915355,0.152275897,1,,1968236.233,3.981776874,3.981776874,0.499014806,4091157447,9999921097,0.393015967,1066.232723,3.7662149,2.323820772,1.100849086,1.209920576,0.152275863,1,,3.349200659,9880349.088,16451049.72,0.248630544,0.401705787,1065.424665,3.771905639,2.297048397,1.071116714,1.135356078,0.154280982,1,,2.682296701,2815265696,9987529834,0.0008119,0.401707414,1065.424655,3.771907183,2.297051361,1.071117445,1.13535678,0.154280998,1
Actr1b,2.616071432,3.46583988,1.982478002,5.796341432,0,1.024629226,132.9330102,754.7414839,0.454460623,961.1926489,2.593674938,3.355230183,1.74792729,3.706173538,0.111873899,2,0,0.831234245,1.715930556,0.484903938,27657.1697,138505.5546,0.462598371,963.2243748,2.595312261,3.327463054,1.720924449,3.593241722,0.111225729,2,,165.4030559,1.024729919,131.7870141,752.7324534,0.454498536,965.358791,2.593626096,3.355056995,1.74793185,3.706319777,0.111870927,2,,2.531336031,1.239675174,1.239675174,0.367002335,1317.734943,6330.596016,0.458812941,967.4306442,2.589825425,3.317586945,1.721336019,3.591484755,0.111006314,2,,8.864791833,32694.11317,3557.8464,7.66931394,0.457711983,965.3584355,2.593816064,3.35408854,1.746313209,3.698022905,0.111848543,2,,1.022492254,14327.95346,81621.58619,20.65376341,0.457701274,965.3584271,2.593820573,3.354058249,1.746269083,3.697799268,0.111847883,2
Pdcl3,6.906250016,4.729819848,1.402818432,3.166006104,0,1.512273011,12.25336174,128.461217,0.489350071,1330.543837,6.885728754,4.725419532,1.248091656,1.742934249,0.173186233,1,0,1.293075686,6.155888046,0.340542311,255.5379342,658.3975845,1,1332.032607,6.861443051,4.587348953,1.205123874,1.665651444,0.170128821,1,,231.2692539,1.512336138,12.16790491,128.402712,0.489339602,1334.709984,6.885656625,4.725171396,1.248058598,1.74286338,0.173182869,1,,1.200681602,8.543052373,8.543052373,0.661008409,11576937.27,67394081.35,0.518761893,1336.084337,6.886762011,4.600338871,1.197717938,1.658175046,0.170226183,1,,9.401647983,3232.807507,524.0067846,5.710468376,0.515575155,1334.469174,6.891486449,4.668840556,1.207590206,1.609916886,0.171889287,1,,1.399546633,1050.683659,15239.36893,25.46363469,0.512169227,1334.465265,6.895968563,4.656318959,1.203538678,1.597797103,0.171781888,1
