name,mean,fano,skewness,kurtosis,0.5+telegraph,la,ga,v,p_telegraph,AICc1,mean1,fano1,skewness1,kurtosis1,HD1,type1,0.5+cross-talk,la1,la2,q1,gamma,nu,p_crosstalk,AICc2,mean2,fano2,skewness2,kurtosis2,HD2,type2,p+threestate,lam1,lam2,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+threestate-crosstalk,lam,kappa1,kappa2,q1,gamma,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+positive,lam,gamma,v,mu,p,AICc,mean,fano,skewness,kurtosis,HD,type,p+negative,lam,gamma,v,nu,p,AICc,mean,fano,skewness,kurtosis,HD,type
1110058L19Rik,1.712765965,2.82760672,1.486760019,1.764394208,0,0.498057556,3.885425744,88.51835008,0.221317936,671.8520417,1.687041296,2.735035084,1.435766151,1.518778714,0.11823027,2,0,0.498042956,0.498070291,0.500098602,3.885328782,88.5160012,0.221317829,673.9631328,1.687040513,2.73503603,1.435766605,1.518779723,0.118230258,2,,0.752907398,0.752921215,2.244477022,76.42546249,0.211455013,673.8339713,1.689072434,2.744628845,1.433687406,1.488998081,0.117842899,2,,77963.17447,0.752915358,0.752915358,0.50960104,4.404600026,76.42987628,0.211454719,675.9683894,1.689072875,2.744625984,1.433686495,1.488996303,0.1178429,2,,0.757731942,2164.359766,3762.885773,0.516124487,0.24608552,674.0232357,1.683678687,2.733371536,1.444295974,1.561774283,0.118245634,2,,0.501646447,398239921.6,9995325142,0.0135226,0.245090825,674.0173409,1.682769547,2.730031775,1.443455579,1.559773262,0.118209563,2
1110059E24Rik,1.585106381,2.461873495,2.382312368,9.925536006,0,0.978232375,21.56241573,76.7276619,0.476039493,656.7358602,1.574563118,2.418174771,1.790789416,3.931598241,0.159678739,2,0,3.144613393,0.757263145,0.604418395,8838613025,9999999917,1,657.8813607,1.573736047,2.406991604,1.751933191,3.736091681,0.15663792,2,,5950.263466,0.9782336,21.55953831,76.73004291,0.476038322,658.8469513,1.574563259,2.418176103,1.790790848,3.931605679,0.159678795,2,,0.047063426,4.604043623,4.604043623,0.992356949,43752796.18,41812272.67,1,655.877797,1.606872982,2.266730367,1.489329108,2.554334171,0.139663205,2,,216316.0856,19979627.94,42.92567847,548724.4506,0.304277585,658.2041678,1.584368598,2.259945679,1.442922632,2.146155339,0.143559095,2,,0.611711199,118.526734,1785440932,31962362.91,0.368530153,658.3603967,1.581218351,2.333023485,1.578723553,2.789994888,0.15145381,2
1190007I07Rik,1.25531915,2.558240181,2.597595069,8.947593452,0,1.021452869,3832547003,9999871903,0.471194581,590.5447189,1.244821724,2.152232272,1.882802765,4.414276174,0.190888999,2,0,1.022632707,1.022723008,0.503803774,3057933644,4984711612,0.752886091,592.6617368,1.244165927,2.150670875,1.882816895,4.416248108,0.190833451,2,,1.591423898,1.591438557,2946458719,9998996308,0.464755592,591.6268236,1.240492844,2.172789312,1.933410526,4.699451172,0.189053719,2,,734.5856558,1.589888819,1.589888819,0.557239251,5316265356,9999995564,0.468076972,593.7719319,1.240557358,2.17257371,1.932786795,4.695693625,0.189071702,2,,1.022665904,8138952448,9990538736,4.21E-08,1,592.6618223,1.244369579,2.150836409,1.882713116,4.415494769,0.190845471,2,,1.021453077,3832244696,9999087682,1.10E-10,0.471194293,592.65581,1.244821789,2.152232112,1.882802631,4.414275604,0.190889001,2
1500011B03Rik,2.287234048,3.736021784,1.522374087,2.166448415,0,0.357284662,1.012699633,21.85029392,0.40050155,749.2010396,2.259859061,3.653655177,1.409634687,1.411757332,0.11392861,2,0,1.881757853,0.303975289,0.5156303,1.824067913,27.03734047,0.372452256,750.9959497,2.257428119,3.642893166,1.419460027,1.485528755,0.1130942,2,,0.357273662,192.6184198,1.010769887,21.84853179,0.400525085,751.3121314,2.259849407,3.65367752,1.409635302,1.411746687,0.113928502,2,,1.61460567,0.494835527,0.494835527,0.496626474,1.293477314,9.215268192,0.990445429,753.3514424,2.258451672,3.649983893,1.410433174,1.424520817,0.113561792,2,,3.761282376,997.839789,82.8063103,13.73127498,0.374027453,750.8144462,2.253432655,3.617333751,1.426501607,1.56298046,0.112075669,2,,0.32007461,1.00E-10,13.85399373,0.32323801,0.999999918,751.0201319,2.25484679,3.640568831,1.420674139,1.48974281,0.112963615,2
1500012F01Rik,3.585106382,3.937148838,2.448044677,9.324845066,0,1.3511919,2003473180,9999200252,0.531909756,908.5164868,3.565636578,3.549341075,1.598317151,3.238253637,0.210268645,1,0,0.826795685,1.709709277,0.162670675,1006374.271,4548496.921,0.545494633,910.305203,3.573332741,3.514812815,1.558222293,3.070983749,0.209111646,1,,1.420721458,6.379118949,95329.31501,377315.3728,0.779301938,910.5400832,3.559313645,3.555784781,1.623287277,3.363561622,0.210202645,1,,0.062433593,2.790461031,2.790461031,0.995357639,3426476784,9792237810,1,910.3453074,3.60925761,3.492417727,1.50600997,2.916087652,0.205906576,2,,1.358980846,117980.1467,568953.9913,0.005845921,0.531926686,910.6277136,3.565717236,3.549535107,1.598320944,3.23816563,0.210273796,1,,1.351191881,2003416921,9998929654,0.03684872,0.531909223,910.6275779,3.565636589,3.549341107,1.59831715,3.238253613,0.210268646,1
1600020E01Rik,1.340425536,1.691320505,2.0277636,6.398201014,0,2.320243192,9999689079,5776911050,1,598.205598,1.334874746,1.550531115,1.395031094,2.342362653,0.09792993,2,0,2.319889202,2.319898913,0.584882475,7902063719,9999920741,0.456590698,600.3163722,1.334899336,1.550608996,1.395057417,2.342383915,0.097934841,1,,3.558828469,3.555678334,8264975.989,6227323.107,1,599.988935,1.333505297,1.555522812,1.417224498,2.451222395,0.097564981,2,,2.584098678,3.480256348,3.480256348,0.754486987,9999980269,8820381144,0.803195754,602.1812908,1.333856027,1.554680057,1.413252523,2.431480045,0.097637917,2,,2.32024732,184063672,109874799.5,1.39E-09,0.967784499,600.3166892,1.334875553,1.550530476,1.39503016,2.342359319,0.097929938,2,,2.320224794,1097837380,738871358,9.82E-09,0.858383554,600.316689,1.334873361,1.550534692,1.395034352,2.342372946,0.097930017,2
1700020I14Rik,1.053191491,2.956909532,2.009859187,4.234426981,0,0.175182839,0.557681639,6.565546115,0.671701433,514.8469162,1.040945861,2.865903457,1.872225818,3.098346735,0.12579847,2,0,0.194428591,2.342982283,0.493701162,79.96522475,9959035162,0.186833613,517.1771638,1.042296126,2.875895607,1.869719545,3.051928544,0.126940894,2,,0.178082273,1.811932196,0.508924197,12.54497837,0.347799424,516.9456572,1.041182029,2.865816295,1.871041357,3.090540027,0.125780465,2,,12.39394424,0.296468217,0.296468217,0.497912267,0.939178258,12.39200068,0.356696874,518.9992817,1.041416333,2.867114021,1.869350073,3.077160592,0.125575497,2,,0.17733095,0.59662612,4.783627598,0.017248509,0.927296873,516.9648238,1.039752477,2.86299752,1.874150665,3.110841869,0.125725703,2,,0.175220542,0.517283235,4.544666319,0.020835658,0.999999873,516.9661319,1.041590798,2.862729035,1.872977399,3.106549546,0.125817199,2
1700021F05Rik,3.382978732,3.10758732,1.218836839,1.159760767,0,1.24107489,1158312280,9998634597,0.345837411,885.7752493,3.294179157,2.918931771,1.118222372,0.75209176,0.1297432,1,0,1.241077244,1.241071745,0.537282749,917092553.2,7916368640,0.345838562,887.8863404,3.294176441,2.918934311,1.118224709,0.752098333,0.129743166,1,,1.798616165,1.768961053,1516.794393,19587.03134,0.33944519,887.7726806,3.295990898,2.934292551,1.124106619,0.750155789,0.129939041,1,,5542842.312,1.784849017,1.784849017,0.632776858,113205772.5,923326120,0.339631349,889.9068727,3.295661831,2.933839344,1.124275236,0.750908355,0.129929137,1,,1.259206739,606.6531241,4543.526337,0.016258814,0.345750528,887.8884986,3.295044834,2.919580641,1.117977122,0.75118185,0.129759204,1,,1.241074763,1158064118,9996492035,3.06E-06,0.345837445,887.8863404,3.294179045,2.918931959,1.118222455,0.752091943,0.1297432,1
1700037H04Rik,1.76595745,2.475006415,1.610910407,3.1969485,0,0.650166646,1.955226923,17.91843513,0.394300495,686.5672251,1.749956226,2.41964463,1.41398898,1.811322297,0.127527978,2,0,2.249152028,0.54384203,0.499708398,3.139994204,20.7441824,0.389804308,688.2319209,1.748991223,2.415320318,1.409035235,1.810201731,0.126073045,2,,103.7169318,0.650233265,1.943875315,17.92801809,0.39412176,688.6783297,1.74967237,2.41961513,1.41422237,1.812298238,0.127520033,2,,0.903137935,0.64986676,0.64986676,0.166345643,2.140752684,8.846490767,0.814503387,690.6834522,1.756542579,2.399025638,1.404250319,1.791563019,0.126920367,2,,126704732.4,9990612511,36.98775398,321393681.8,0.370947935,687.7818797,1.754176843,2.370677024,1.345267741,1.590624905,0.122403132,2,,0.538696197,2.41E-09,9987086599,896426918.4,0.973473726,688.1160156,1.748175419,2.406419472,1.403920754,1.801274337,0.125379635,2
1700052N19Rik,1.361702135,3.216422883,2.558943335,7.085131291,0,0.80385443,5839646240,9895070777,0.99970911,611.9808835,1.329160071,2.484058879,1.933229491,4.334723775,0.154424927,2,0,0.797216872,0.797216541,0.501483625,2547944349,9999474090,0.437061614,614.0188182,1.333638438,2.495361359,1.930748736,4.307829574,0.154785586,2,,1.244752194,1.244753852,1971600765,9999886164,0.433454117,612.215551,1.325175963,2.516392452,1.978863718,4.557655969,0.15125445,2,,9733425664,1.261697065,1.261697065,0.46740237,5053708936,5086192696,1,614.4750347,1.31805548,2.498537773,1.983616761,4.606628088,0.150692875,2,,0.794027685,345.604229,1372.598503,3.85E-10,0.434753571,614.0747072,1.334366744,2.496433895,1.929013847,4.296340829,0.154933056,2,,0.797216696,2547925465,9999401032,1.10E-09,0.437061588,614.0188182,1.333638474,2.495361401,1.930748714,4.307829409,0.154785588,2
